track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,49bXZtlI5kQSqQMSCnSaWO,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-6,0.124,0.752,121.984,207894
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,67,6e6RVFWdZaoTiLAZOCMnps,Hate Me (R3HAB Remix),2019-08-16,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.437,0.774,8,-4.918,1,0.0554,0.148,0,0.133,0.329,123.125,203733
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,67,2R66I0nzp3NnuUlzIGWQ5P,Body On My,2019-03-29,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.744,0.726,1,-4.675,1,0.0463,0.0399,0,0.374,0.687,121.985,192507
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,7Al4TIo0c5twNLfdOh1y1u,SOS (Laidback Luke Tribute Remix),2019-05-17,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.572,0.915,5,-4.451,0,0.0625,0.0111,0,0.339,0.678,123.919,164516
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,2vx3BtBMn8Ed3ygEg1OT2t,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,1imXAvLuowvPYIsFMYUPY0,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.805,0.835,0,-4.603,1,0.0896,0.13,5.03e-6,0.365,0.722,125.028,188230
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,60,4lXBBbiEgwTzcfAkqdXJV1,All My Friends (Eden Prince Remix),2019-05-03,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.694,0.901,1,-4.322,0,0.0948,0.0702,0,0.427,0.368,118.051,173548
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,19z3vpbBT09lZ54neDfuFL,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.678,0.747,10,-5.289,0,0.165,0.0395,0,0.174,0.516,120.002,189375
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,2LDzwN4iZ4qbSA32E9CG4Q,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961,159404
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,Steve Aoki,35,097kyycr5ZuLS2cPwwUHwt,Let It Be Me (Remixes),2019-10-18,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.467,0.821,7,-5.466,1,0.0934,0.00791,4.41e-4,0.131,0.232,122.676,185366
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,70,37bCTD5iLWMpDcBanNkkXB,Heaven (David Guetta & MORTEN Remix),2019-08-23,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.572,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,64,5r998zJ0MNYb2TTxyQmjxT,All Around The World (La La La) [Marnik Remix],2019-08-23,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.708,0.913,9,-4.329,0,0.0348,0.089,0.081,0.113,0.707,135.016,170667
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,1WhPuMFm5VaTJqe9rl3C5Q,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.684,0.818,4,-4.477,0,0.128,0.0469,3.39e-6,0.119,0.336,123.938,210968
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,6Ol6C42O7AWnTkj8pHMHWv,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019-10-25,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-6,0.0388,0.372,124.024,193548
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,5vf16sRhXB2f3sS5kteU2T,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.62,0.889,11,-3.785,1,0.0352,0.0163,1.86e-5,0.395,0.422,110.018,205093
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,1LTVUVJQ9wNArrbm02ZOVL,Hold Me While You Wait (Steve Void Remix),2019-06-21,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.675,0.76,11,-7.037,1,0.0434,0.104,0,0.33,0.468,124.933,172800
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,66,13pvchQvJxxpvvtsasA4NG,One Thing Right (Remixes),2019-08-09,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.682,0.851,1,-7.117,0,0.0363,0.0146,8.34e-4,0.0289,0.348,126,192381
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,5bMicFMWsZlRZNTDq9h3oA,Close To Me (Remixes),2019-02-01,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.663,0.905,1,-3.781,0,0.0511,0.0325,0,0.333,0.397,125.996,175000
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,62,4pl2838fY2YPaqiT2yWuMo,So Am I (Toby Green Remix),2019-05-23,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.625,0.938,6,-3.983,1,0.0517,0.00432,2.6e-4,0.0923,0.371,127.997,166875
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,30,6MhbDWEsAP9Xsgoj0TuEOc,When You Leave (Breathe Carolina Remix),2019-04-19,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.679,0.909,1,-2.929,1,0.105,0.0334,0,0.269,0.819,119.885,155080
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,56,2Ryw2kkGP0VecGM9b4kjgo,Mother (Fedde Le Grand Remix),2019-11-01,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.641,0.869,11,-4.754,1,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125
4YaU1EjXIkdRdkOI4cCZys,Signs - Eden Prince Remix,Starley,56,249wM0bMES3O4nFuwARq9i,Signs (Eden Prince Remix),2018-11-30,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.702,0.814,0,-7.51,0,0.0841,0.107,3.03e-5,0.374,0.503,121.993,172000
0Fc9QSMX6fgEBgDjUax7t7,Ruin My Life - Steve James Remix,Zara Larsson,58,6rWRg6yLGcLdG0IRaCB9LN,Ruin My Life (Remixes),2018-11-23,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.723,0.837,11,-6.487,1,0.0389,0.0103,4.77e-4,0.0834,0.643,123.952,177097
7AasLZ4TYgh7dbJXZxcZVE,Torn - KREAM Remix,Ava Max,60,6gKLNSKPll9DAG5xiygMxD,Torn (KREAM Remix),2019-09-05,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.742,0.864,0,-5.06,1,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935
7p4jpmyBnOpqQ3rSGJzZ7w,Quite Miss Home - Steve Void Remix,James Arthur,60,4H87kr1cjR2CSUkTFopYEK,Quite Miss Home (Steve Void Remix),2019-11-22,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.716,0.815,10,-4.121,1,0.0533,0.108,0,0.163,0.351,124.975,220413
4sLtguRBis05qfsBgJ1IdN,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,3E3l9Ae226bVoSwoPNuwWv,Love Me Less (Remixes),2019-06-21,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.748,0.831,1,-5.029,1,0.115,0.0823,7.36e-5,0.0757,0.894,128.024,185273
508lUjbGcPrL0CfvHC7UvI,Happier - Matt Medved Remix,Marshmello,59,44iw4l4Syoi5HZgCQzNSKJ,Happier (Remixes Pt. 2),2018-11-30,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.816,0.833,5,-5.972,1,0.0511,0.126,9.09e-6,0.0625,0.793,122.032,170164
7FDaS1k08rwMoAThmzUkOZ,Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,3Yb3f9PL7aBpjuJPyiV0ot,Side Effects - Remixes,2018-07-25,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.633,0.854,0,-4.046,0,0.0432,0.0382,2.83e-5,0.434,0.659,126.026,172360
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,1r4KIEhxQJ7o3b5Fbv2sRe,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019-07-12,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.563,0.81,2,-2.921,1,0.0522,0.00522,0,0.0846,0.495,129.975,247385
